extraction_time,video_id,title,publish_date,view_count,like_count,comment_count
2025-10-09 12:00:02,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,133344,5322,62
2025-10-09 12:00:03,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,119627,4091,134
2025-10-09 12:00:03,GcoCfy0VXxI,NEXT & JD McCrary Compete For The Belt 🙌 Wild 'N Out,2025-10-07T20:00:10Z,15390,640,45
2025-10-09 12:00:04,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,168896,3745,110
2025-10-09 12:00:04,IV6UpsGkpH0,Best of Big JJ 🤣 Wild 'N Out,2025-10-07T20:00:14Z,24650,881,47
2025-10-09 12:00:04,HWqrQoxxRkc,Siri is always there for us  🤣 #WildNOut,2025-10-07T20:00:11Z,31556,872,5
2025-10-09 12:00:05,KIPzNmvH20I,"That was a whole production #WildNOut 🤣 New episode of WNO TONIGHT, 8pm ET on VH1 🙌",2025-10-06T20:00:24Z,49983,2046,46
2025-10-09 12:00:05,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,75749,1232,30
